Id,Score
40001,3.7080321311950684
40002,4.188343524932861
40003,4.243789196014404
40004,4.682901382446289
40005,4.177052974700928
40006,5.216535568237305
40007,6.059932708740234
40008,2.8303260803222656
40009,3.28967022895813
40010,3.9244656562805176
40011,2.803518772125244
40012,3.505892753601074
40013,3.296370029449463
40014,3.3155670166015625
40015,3.6206259727478027
40016,5.13485050201416
40017,2.744094133377075
40018,4.009905815124512
40019,4.438018321990967
40020,4.603151798248291
40021,3.262355089187622
40022,4.436824798583984
40023,5.35954475402832
40024,4.483305931091309
40025,3.5376474857330322
40026,3.2787346839904785
40027,5.0781636238098145
40028,2.8175582885742188
40029,3.363671064376831
40030,4.547425270080566
40031,6.343323230743408
40032,4.497500896453857
40033,3.4004898071289062
40034,4.539975166320801
40035,3.0509254932403564
40036,3.4026665687561035
40037,4.41207218170166
40038,6.196683406829834
40039,4.226476192474365
40040,6.166848182678223
40041,3.1134791374206543
40042,3.534353733062744
40043,3.6416611671447754
40044,3.002448558807373
40045,2.9378039836883545
40046,6.196235656738281
40047,3.604539394378662
40048,4.79432487487793
40049,3.8058278560638428
40050,5.488214015960693
40051,5.561483383178711
40052,2.8791592121124268
40053,2.8660902976989746
40054,3.108269453048706
40055,3.595817804336548
40056,3.0375733375549316
40057,4.46415376663208
40058,5.370162487030029
40059,4.481639862060547
40060,5.1476054191589355
40061,4.993181228637695
40062,3.2961180210113525
40063,2.948286533355713
40064,5.355602741241455
40065,3.137000799179077
40066,5.315606594085693
40067,3.8799760341644287
40068,2.216726064682007
40069,3.7169835567474365
40070,3.717345952987671
40071,4.936159610748291
40072,3.0093917846679688
40073,3.124391555786133
40074,2.689138412475586
40075,5.711740970611572
40076,4.1451616287231445
40077,4.116015434265137
40078,4.491372585296631
40079,5.071298599243164
40080,7.23696756362915
40081,4.144604206085205
40082,4.205618381500244
40083,3.7788991928100586
40084,2.204901695251465
40085,3.641383409500122
40086,5.101814270019531
40087,3.068929672241211
40088,7.781536102294922
40089,4.54951810836792
40090,2.9155919551849365
40091,3.839930295944214
40092,3.8142659664154053
40093,4.643548488616943
40094,3.917487859725952
40095,3.595243453979492
40096,3.261003017425537
40097,3.356515884399414
40098,7.47381067276001
40099,6.335620880126953
40100,6.373878479003906
40101,2.993389129638672
40102,5.179475784301758
40103,2.184597969055176
40104,4.039191246032715
40105,6.670530319213867
40106,2.1896157264709473
40107,2.151538848876953
40108,4.176275253295898
40109,6.747807025909424
40110,3.980633020401001
40111,3.2495992183685303
40112,3.0070137977600098
40113,2.835442543029785
40114,2.8971245288848877
40115,4.830268383026123
40116,4.726596832275391
40117,4.200069427490234
40118,5.144692897796631
40119,5.033754348754883
40120,3.878889322280884
40121,3.0827929973602295
40122,3.871960401535034
40123,3.386256456375122
40124,2.895909070968628
40125,3.957603693008423
40126,2.8438384532928467
40127,3.7623541355133057
40128,5.34515905380249
40129,3.4119796752929688
40130,6.442970275878906
40131,8.370342254638672
40132,2.717318058013916
40133,3.047255516052246
40134,3.658810615539551
40135,3.712994337081909
40136,3.365225315093994
40137,4.734587669372559
40138,4.947258472442627
40139,3.2665560245513916
40140,3.273399829864502
40141,4.0599589347839355
40142,2.6579432487487793
40143,4.196789264678955
40144,4.435697078704834
40145,3.8578298091888428
40146,3.5047152042388916
40147,2.7879433631896973
40148,3.520203113555908
40149,3.1433651447296143
40150,4.167396068572998
40151,3.471306562423706
40152,2.214005947113037
40153,2.8406548500061035
40154,2.9950742721557617
40155,3.7455315589904785
40156,2.815154552459717
40157,4.00734806060791
40158,2.8462071418762207
40159,3.664773464202881
40160,2.4193201065063477
40161,4.197183132171631
40162,3.6582517623901367
40163,4.313132286071777
40164,2.8939130306243896
40165,3.489624500274658
40166,2.9178969860076904
40167,3.581545352935791
40168,3.5731098651885986
40169,4.604207992553711
40170,5.407659530639648
40171,4.114444255828857
40172,4.815980911254883
40173,4.204023838043213
40174,3.6123437881469727
40175,2.766430139541626
40176,3.831214427947998
40177,3.8312911987304688
40178,3.1995880603790283
40179,5.468985557556152
40180,3.06137752532959
40181,4.8220438957214355
40182,3.5423569679260254
40183,2.0314691066741943
40184,3.6987152099609375
40185,2.53305983543396
40186,2.4902303218841553
40187,2.827975273132324
40188,2.7773520946502686
40189,3.664745807647705
40190,3.2070083618164062
40191,2.268232583999634
40192,2.39115309715271
40193,4.13870906829834
40194,3.395311117172241
40195,2.873593807220459
40196,3.002488136291504
40197,3.048741579055786
40198,3.579928159713745
40199,3.615792989730835
40200,2.5661680698394775
40201,2.763648271560669
40202,3.7640058994293213
40203,4.003261089324951
40204,4.343307971954346
40205,3.1019349098205566
40206,3.0694868564605713
40207,5.334761619567871
40208,7.069610118865967
40209,4.13681697845459
40210,6.4367594718933105
40211,3.866349935531616
40212,3.799513339996338
40213,4.4500226974487305
40214,3.712961435317993
40215,4.892356872558594
40216,4.663547992706299
40217,2.7853682041168213
40218,5.423305511474609
40219,4.049012660980225
40220,3.730581283569336
40221,3.481487989425659
40222,2.748899459838867
40223,3.7676539421081543
40224,5.304365634918213
40225,3.8724257946014404
